index,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_Type,CEC_hybrid
ABB__UNO_2_0_I_OUTD_S_US__208V_,208,25.9825,2000.0,2089.758545,330.0,-1.3e-05,-2.9e-05,0.001223,-0.001381,0.4,416.0,6.332602,100.0,416.0,,Utility Interactive,
ABB__UNO_2_0_I_OUTD_S_US__240V_,240,26.890827,2000.0,2078.521729,340.0,-1.1e-05,-2.9e-05,0.000917,-0.001472,0.4,416.0,6.113299,100.0,416.0,,Utility Interactive,
ABB__UNO_2_0_I_OUTD_S_US__277V_,277,27.5854,2000.0,2073.083252,360.0,-9.455221e-06,-3.1e-05,0.000443,-0.00195,0.5,416.0,5.758565,100.0,416.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_A__208V_,208,14.462379,2000.0,2067.474121,400.0,-6.348957e-06,-4.1e-05,0.000715,-0.000575,0.11,480.0,5.168685,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_A__240V_,240,14.459577,2000.0,2061.733398,400.0,-5.249517e-06,-5e-05,0.000371,-0.00069,0.15,480.0,5.154333,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_A__277V_,277,15.902328,2000.0,2058.968994,400.0,-4.741659e-06,-5.6e-05,-0.000147,-0.001199,0.15,480.0,5.147422,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_B_C_M_A__208V_,208,14.462379,2000.0,2067.474121,400.0,-6.348957e-06,-4.1e-05,0.000715,-0.000575,0.11,480.0,5.168685,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_B_C_M_A__240V_,240,14.459577,2000.0,2061.733398,400.0,-5.249517e-06,-5e-05,0.000371,-0.00069,0.15,480.0,5.154333,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_B_C_M_A__277V_,277,15.902328,2000.0,2058.968994,400.0,-4.741659e-06,-5.6e-05,-0.000147,-0.001199,0.15,480.0,5.147422,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_B_C_M__208V_,208,14.462379,2000.0,2067.474121,400.0,-6.348957e-06,-4.1e-05,0.000715,-0.000575,0.11,480.0,5.168685,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_B_C_M__240V_,240,14.459577,2000.0,2061.733398,400.0,-5.249517e-06,-5e-05,0.000371,-0.00069,0.15,480.0,5.154333,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_B_C_M__277V_,277,15.902328,2000.0,2058.968994,400.0,-4.741659e-06,-5.6e-05,-0.000147,-0.001199,0.15,480.0,5.147422,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_B_M_A__208V_,208,14.462379,2000.0,2067.474121,400.0,-6.348957e-06,-4.1e-05,0.000715,-0.000575,0.11,480.0,5.168685,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_B_M_A__240V_,240,14.459577,2000.0,2061.733398,400.0,-5.249517e-06,-5e-05,0.000371,-0.00069,0.15,480.0,5.154333,180.0,480.0,,Utility Interactive,
